,Season,Playoffs,Finals,Reg Season Games,Start,Finish,Top Record,Champion
26,1942–43 ,1943,1943,50,31-Oct-1942,08-Apr-1943,Detroit Red Wings (25–14–11) ,Detroit Red Wings
27,1943–44 ,1944,1944,50,30-Oct-1943,13-Apr-1944,Montreal Canadiens (38–5–7) ,Montreal Canadiens
28,1944–45 ,1945,1945,50,28-Oct-1944,22-Apr-1945,Montreal Canadiens (38–8–4) ,Toronto Maple Leafs
29,1945–46 ,1946,1946,50,24-Oct-1945,09-Apr-1946,Montreal Canadiens (28–17–5) ,Montreal Canadiens
30,1946–47 ,1947,1947,60,16-Oct-1946,19-Apr-1947,Montreal Canadiens (34–16–10) ,Toronto Maple Leafs
31,1947–48 ,1948,1948,60,15-Oct-1947,14-Apr-1948,Toronto Maple Leafs (32–15–13) ,Toronto Maple Leafs
32,1948–49 ,1949,1949,60,13-Oct-1948,16-Apr-1949,Detroit Red Wings (34–19–7) ,Toronto Maple Leafs
33,1949–50 ,1950,1950,70,12-Oct-1949,23-Apr-1950,Detroit Red Wings (37–19–14) ,Detroit Red Wings
34,1950–51 ,1951,1951,70,11-Oct-1950,21-Apr-1951,Detroit Red Wings (44–13–13) ,Toronto Maple Leafs
35,1951–52 ,1952,1952,70,11-Oct-1951,15-Apr-1952,Detroit Red Wings (44–14–12) ,Detroit Red Wings
36,1952–53 ,1953,1953,70,09-Oct-1952,16-Apr-1953,Detroit Red Wings (36–16–18) ,Montreal Canadiens
37,1953–54 ,1954,1954,70,08-Oct-1953,16-Apr-1954,Detroit Red Wings (37–19–14) ,Detroit Red Wings
38,1954–55 ,1955,1955,70,07-Oct-1954,14-Apr-1955,Detroit Red Wings (42–11–11) ,Detroit Red Wings
39,1955–56 ,1956,1956,70,06-Oct-1955,10-Apr-1956,Montreal Canadiens (45–15–10) ,Montreal Canadiens
40,1956–57 ,1957,1957,70,11-Oct-1956,16-Apr-1957,Detroit Red Wings (38–20–12) ,Montreal Canadiens
41,1957–58 ,1958,1958,70,08-Oct-1957,20-Apr-1958,Montreal Canadiens (43–17–10) ,Montreal Canadiens
42,1958–59 ,1959,1959,70,08-Oct-1958,18-Apr-1959,Montreal Canadiens (39–18–13) ,Montreal Canadiens
43,1959–60 ,1960,1960,70,07-Oct-1959,14-Apr-1960,Montreal Canadiens (40–18–12) ,Montreal Canadiens
44,1960–61 ,1961,1961,70,05-Oct-1960,16-Apr-1961,Montreal Canadiens (41–19–10) ,Chicago Black Hawks
45,1961–62 ,1962,1962,70,11-Oct-1961,22-Apr-1962,Montreal Canadiens (42–14–14) ,Toronto Maple Leafs
46,1962–63 ,1963,1963,70,12-Oct-1962,18-Apr-1963,Toronto Maple Leafs (35–23–12) ,Toronto Maple Leafs
47,1963–64 ,1964,1964,70,08-Oct-1963,25-Apr-1964,Montreal Canadiens (36–21–13) ,Toronto Maple Leafs
48,1964–65 ,1965,1965,70,12-Oct-1964,01-May-1965,Detroit Red Wings (40–23–7) ,Montreal Canadiens
49,1965–66 ,1966,1966,70,23-Oct-1965,05-May-1966,Montreal Canadiens (41–21–8) ,Montreal Canadiens
50,1966–67 ,1967,1967,70,19-Oct-1966,02-May-1967,Chicago Black Hawks (41–17–12) ,Toronto Maple Leafs
51,1967–68 ,1968,1968,74,11-Oct-1967,11-May-1968,Montreal Canadiens (42–22–10) ,Montreal Canadiens
52,1968–69 ,1969,1969,76,11-Oct-1968,04-May-1969,Montreal Canadiens (46–19–11) ,Montreal Canadiens
53,1969–70 ,1970,1970,76,11-Oct-1969,10-May-1970,Chicago Black Hawks (45–22–9) ,Boston Bruins
54,1970–71 ,1971,1971,78,09-Oct-1970,18-May-1971,Boston Bruins (57–14–7) ,Montreal Canadiens
55,1971–72 ,1972,1972,78,08-Oct-1971,11-May-1972,Boston Bruins (54–13–11) ,Boston Bruins
56,1972–73 ,1973,1973,78,07-Oct-1972,10-May-1973,Montreal Canadiens (52–10–16) ,Montreal Canadiens
57,1973–74 ,1974,1974,78,10-Oct-1973,19-May-1974,Boston Bruins (52–17–9) ,Philadelphia Flyers
58,1974–75 ,1975,1975,80,09-Oct-1974,27-May-1975,Philadelphia Flyers (51–18–11) ,Philadelphia Flyers
59,1975–76 ,1976,1976,80,07-Oct-1975,16-May-1976,Montreal Canadiens (58–11–11) ,Montreal Canadiens
60,1976–77 ,1977,1977,80,05-Oct-1976,14-May-1977,Montreal Canadiens (60–8–12) ,Montreal Canadiens
61,1977–78 ,1978,1978,80,12-Oct-1977,25-May-1978,Montreal Canadiens (59–10–11) ,Montreal Canadiens
62,1978–79 ,1979,1979,80,11-Oct-1978,21-May-1979,New York Islanders (51–15–14) ,Montreal Canadiens
63,1979–80 ,1980,1980,80,09-Oct-1979,24-May-1980,Philadelphia Flyers (48–12–20) ,New York Islanders
64,1980–81 ,1981,1981,80,09-Oct-1980,21-May-1981,New York Islanders (48–18–14) ,New York Islanders
65,1981–82 ,1982,1982,80,06-Oct-1981,16-May-1982,New York Islanders (54–16–10) ,New York Islanders
66,1982–83 ,1983,1983,80,05-Oct-1982,17-May-1983,Boston Bruins (50–20–10) ,New York Islanders
67,1983–84 ,1984,1984,80,04-Oct-1983,19-May-1984,Edmonton Oilers (57–18–5) ,Edmonton Oilers
68,1984–85 ,1985,1985,80,11-Oct-1984,30-May-1985,Philadelphia Flyers (53–20–7) ,Edmonton Oilers
69,1985–86 ,1986,1986,80,10-Oct-1985,24-May-1986,Edmonton Oilers (56–17–7) ,Montreal Canadiens
70,1986–87 ,1987,1987,80,09-Oct-1986,31-May-1987,Edmonton Oilers (50–24–6) ,Edmonton Oilers
71,1987–88 ,1988,1988,80,08-Oct-1987,26-May-1988,Calgary Flames (48–23–9) ,Edmonton Oilers
72,1988–89 ,1989,1989,80,06-Oct-1988,25-May-1989,Calgary Flames (54–17–9) ,Calgary Flames
73,1989–90 ,1990,1990,80,05-Oct-1989,24-May-1990,Boston Bruins (46–25–9) ,Edmonton Oilers
74,1990–91 ,1991,1991,80,04-Oct-1990,25-May-1991,Chicago Blackhawks (49–23–8) ,Pittsburgh Penguins
75,1991–92 ,1992,1992,80,03-Oct-1991,01-Jun-1992,New York Rangers (50–25–5) ,Pittsburgh Penguins
76,1992–93 ,1993,1993,84,06-Oct-1992,09-Jun-1993,Pittsburgh Penguins (56–21–7) ,Montreal Canadiens
77,1993–94 ,1994,1994,84,05-Oct-1993,14-Jun-1994,New York Rangers (52–24–8) ,New York Rangers
78,1994–95 ,1995,1995,48,20-Jan-1995,24-Jun-1995,Detroit Red Wings (33–11–4) ,New Jersey Devils
79,1995–96 ,1996,1996,82,06-Oct-1995,10-Jun-1996,Detroit Red Wings (62–13–7) ,Colorado Avalanche
80,1996–97 ,1997,1997,82,04-Oct-1996,07-Jun-1997,Colorado Avalanche (49–24–9) ,Detroit Red Wings
81,1997–98 ,1998,1998,82,01-Oct-1997,16-Jun-1998,Dallas Stars (49–22–11) ,Detroit Red Wings
82,1998–99 ,1999,1999,82,09-Oct-1998,19-Jun-1999,Dallas Stars (51–19–12) ,Dallas Stars
83,1999–00 ,2000,2000,82,01-Oct-1999,10-Jun-2000,St. Louis Blues (51–19–11–1) ,New Jersey Devils
84,2000–01 ,2001,2001,82,04-Oct-2000,09-Jun-2001,Colorado Avalanche (52–16–10–4) ,Colorado Avalanche
85,2001–02 ,2002,2002,82,03-Oct-2001,13-Jun-2002,Detroit Red Wings (51–17–10–4) ,Detroit Red Wings
86,2002–03 ,2003,2003,82,09-Oct-2002,09-Jun-2003,Ottawa Senators (52–21–8–1) ,New Jersey Devils
87,2003–04 ,2004,2004,82,08-Oct-2003,07-Jun-2004,Detroit Red Wings (48–21–11–2) ,Tampa Bay Lightning
88,2004–05 ,,,0,01-Oct-2004,01-Jun-2005,Lockout,Lockout
89,2005–06 ,2006,2006,82,05-Oct-2005,19-Jun-2006,Detroit Red Wings (58–16–8) ,Carolina Hurricanes
90,2006–07 ,2007,2007,82,04-Oct-2006,06-Jun-2007,Buffalo Sabres (53–22–7) ,Anaheim Ducks
91,2007–08 ,2008,2008,82,29-Sep-2007,04-Jun-2008,Detroit Red Wings (54–21–7) ,Detroit Red Wings
92,2008–09 ,2009,2009,82,04-Oct-2008,12-Jun-2009,San Jose Sharks (53–18–11) ,Pittsburgh Penguins
93,2009–10 ,2010,2010,82,01-Oct-2009,09-Jun-2010,Washington Capitals (54–15–13) ,Chicago Blackhawks
94,2010–11 ,2011,2011,82,07-Oct-2010,15-Jun-2011,Vancouver Canucks (54–19–9) ,Boston Bruins
95,2011–12 ,2012,2012,82,06-Oct-2011,11-Jun-2012,Vancouver Canucks (51–22–9) ,Los Angeles Kings
96,2012–13 ,2013,2013,48,19-Jan-2013,24-Jun-2013,Chicago Blackhawks (36–7–5) ,Chicago Blackhawks
97,2013–14 ,2014,2014,82,01-Oct-2013,13-Jun-2014,Boston Bruins (54–19–9) ,Los Angeles Kings
98,2014–15 ,2015,2015,82,08-Oct-2014,15-Jun-2015,New York Rangers (53–22–7) ,Chicago Blackhawks
99,2015–16 ,2016,2016,82,07-Oct-2015,12-Jun-2016,Washington Capitals (56–18–8) ,Pittsburgh Penguins
100,2016–17 ,2017,2017,82,12-Oct-2016,11-Jun-2017,Washington Capitals (55–19–8) ,Pittsburgh Penguins
101,2017–18 ,2018,2018,82,04-Oct-2017,07-Jun-2018,Nashville Predators (53–18–11) ,Washington Capitals
102,2018–19 ,2019,2019,82,03-Oct-2018,12-Jun-2019,Tampa Bay Lightning (62–16–4) ,St. Louis Blues
103,2019–20 ,2020,2020,71,02-Oct-2019,28-Sep-2020,Boston Bruins (44–14–12)[40] ,Tampa Bay Lightning
104,2020–21 ,2021,2021,56,13-Jan-2021,07-Jul-2021,Colorado Avalanche (39–13–4) ,Tampa Bay Lightning
105,2021–22 ,2022,2022,82,12-Oct-2021,26-Jun-2022,Florida Panthers (58–18–6) ,Colorado Avalanche
106,2022–23 ,2023,2023,82,07-Oct-2022,13-Jun-2023,Boston Bruins (65–12–5) ,Vegas Golden Knights
