,team_name,team_short,team_abbrv,conference,division,home_c,away_c,normal_direct_of_play,active_team,primary_text_c
1,Anaheim Ducks,Anaheim,ANA,Western,Pacific,#F95602,#111111,TRUE,TRUE,#FFFFFF
2,Arizona Coyotes,Arizona,ARI,Western,Central,#8C2633,#E2D6B5,TRUE,TRUE,#000000
3,Atlanta Thrashers,Atlanta,ATL,Eastern,Southeast,#041E42,#b86125,TRUE,FALSE,#FFFFFF
4,Boston Bruins,Boston,BOS,Eastern,Atlantic,#111111,#FCB514,TRUE,TRUE,#FFFFFF
5,Buffalo Sabres,Buffalo,BUF,Eastern,Atlantic,#002654,#FCB514,TRUE,TRUE,#FFFFFF
6,Calgary Flames,Calgary,CGY,Western,Pacific,#CE1126,#F3BC52,FALSE,TRUE,#FFFFFF
7,Carolina Hurricanes,Carolina,CAR,Eastern,Metropolitan,#CE1126,#A4A9AD,FALSE,TRUE,#000000
8,Chicago Blackhawks,Chicago,CHI,Western,Central,#CE1126,#111111,TRUE,TRUE,#FFFFFF
9,Colorado Avalanche,Colorado,COL,Western,Central,#6F263D,#236192,FALSE,TRUE,#FFFFFF
10,Columbus Blue Jackets,Columbus,CBJ,Eastern,Metropolitan,#002654,#A4A9AD,TRUE,TRUE,#FFFFFF
11,Dallas Stars,Dallas,DAL,Western,Central,#006847,#8F8F8C,FALSE,TRUE,#FFFFFF
12,Detroit Red Wings,Detroit,DET,Eastern,Atlantic,#CE1126,#A4A9AD,FALSE,TRUE,#FFFFFF
13,Edmonton Oilers,Edmonton,EDM,Western,Pacific,#041E41,#FF4C00,TRUE,TRUE,#FFFFFF
14,Florida Panthers,Florida,FLA,Eastern,Atlantic,#041E41,#B9975B,TRUE,TRUE,#FFFFFF
15,Los Angeles Kings,Los Angeles,LAK,Western,Pacific,#111111,#ACAEA9,FALSE,TRUE,#FFFFFF
16,Minnesota Wild,Minnesota,MIN,Western,Central,#154734,#A6192E,FALSE,TRUE,#FFFFFF
17,Montréal Canadiens,Montréal,MTL,Eastern,Atlantic,#AF1E2D,#192168,FALSE,TRUE,#FFFFFF
18,Nashville Predators,Nashville,NSH,Western,Central,#FFB81C,#041E41,TRUE,TRUE,#FFFFFF
19,New Jersey Devils,New Jersey,NJD,Eastern,Metropolitan,#CE1126,#111111,TRUE,TRUE,#FFFFFF
20,New York Islanders,New York Islanders,NYI,Eastern,Metropolitan,#00539b,#F47D30,TRUE,TRUE,#FFFFFF
21,New York Rangers,New York Rangers,NYR,Eastern,Metropolitan,#CE1126,#0038A8,FALSE,TRUE,#FFFFFF
22,Ottawa Senators,Ottawa,OTT,Eastern,Atlantic,#BF910C,#CE1127,TRUE,TRUE,#FFFFFF
23,Philadelphia Flyers,Philadelphia,PHI,Eastern,Metropolitan,#F74902,#111111,FALSE,TRUE,#FFFFFF
24,Phoenix Coyotes,Phoenix,PHX,Western,Central,#8C2633,#E2D6B5,TRUE,FALSE,#000000
25,Pittsburgh Penguins,Pittsburgh,PIT,Eastern,Metropolitan,#111111,#FCB514,TRUE,TRUE,#FFFFFF
26,San Jose Sharks,San Jose,SJS,Western,Pacific,#006D75,#EA7200,TRUE,TRUE,#FFFFFF
27,Seattle Kraken,Seattle,SEA,Western,Pacific,#68a2b9,#001628,TRUE,TRUE,#FFFFFF
28,St. Louis Blues,St. Louis,STL,Western,Central,#002F87,#FCB514,TRUE,TRUE,#FFFFFF
29,Tampa Bay Lightning,Tampa Bay,TBL,Eastern,Atlantic,#002868,#999999,TRUE,TRUE,#FFFFFF
30,Toronto Maple Leafs,Toronto,TOR,Eastern,Atlantic,#00205B,#999999,TRUE,TRUE,#FFFFFF
31,Vancouver Canucks,Vancouver,VAN,Western,Pacific,#001F5B,#071C2C,FALSE,TRUE,#FFFFFF
32,Vegas Golden Knights,Vegas,VGK,Western,Pacific,#B4975A,#333F42,FALSE,TRUE,#FFFFFF
33,Washington Capitals,Washington,WSH,Eastern,Metropolitan,#CF0A2C,#041E41,TRUE,TRUE,#FFFFFF
34,Winnipeg Jets,Winnipeg,WPG,Western,Central,#041E41,#7B303E,FALSE,TRUE,#FFFFFF
